,Timestamp,Emotion,Emotion_Value
0,2021-11-20 20:55:23.465646,neutral,0.995
1,2021-11-20 20:55:23.890832,neutral,0.998
2,2021-11-20 20:55:24.314673,neutral,0.995
3,2021-11-20 20:55:24.818257,neutral,0.994
4,2021-11-20 20:55:25.233054,neutral,0.995
5,2021-11-20 20:55:25.641619,neutral,0.997
6,2021-11-20 20:55:26.084836,neutral,0.987
7,2021-11-20 20:55:26.537534,neutral,0.996
8,2021-11-20 20:55:26.974423,neutral,0.999
9,2021-11-20 20:55:27.432144,neutral,0.996
10,2021-11-20 20:55:27.849322,neutral,0.999
11,2021-11-20 20:55:28.292085,neutral,0.999
12,2021-11-20 20:55:28.699341,neutral,1
13,2021-11-20 20:55:29.165389,neutral,0.99
14,2021-11-20 20:55:29.604640,neutral,0.994
15,2021-11-20 20:55:30.018916,neutral,0.997
16,2021-11-20 20:55:30.457532,neutral,0.999
17,2021-11-20 20:55:30.895463,neutral,0.992
18,2021-11-20 20:55:31.118839,not paying attention,-1
19,2021-11-20 20:55:31.316633,not paying attention,-1
20,2021-11-20 20:55:31.728347,neutral,0.998
21,2021-11-20 20:55:31.920510,not paying attention,-1
22,2021-11-20 20:55:32.375069,neutral,0.999
23,2021-11-20 20:55:32.843535,neutral,0.999
24,2021-11-20 20:55:33.263253,neutral,1
25,2021-11-20 20:55:33.734650,neutral,0.999
26,2021-11-20 20:55:34.181356,neutral,0.997
27,2021-11-20 20:55:34.574310,neutral,0.999
28,2021-11-20 20:55:34.981411,neutral,0.999
29,2021-11-20 20:55:35.440591,neutral,0.998
30,2021-11-20 20:55:35.889142,neutral,0.998
31,2021-11-20 20:55:36.367223,neutral,0.997
32,2021-11-20 20:55:36.775620,neutral,0.995
33,2021-11-20 20:55:37.189681,neutral,0.949
34,2021-11-20 20:55:37.638624,neutral,0.991
35,2021-11-20 20:55:38.057143,neutral,0.994
36,2021-11-20 20:55:38.526509,neutral,0.99
37,2021-11-20 20:55:38.971032,neutral,0.981
38,2021-11-20 20:55:39.388230,neutral,0.999
39,2021-11-20 20:55:39.782635,neutral,0.997
40,2021-11-20 20:55:40.032712,not paying attention,-1
41,2021-11-20 20:55:40.240875,not paying attention,-1
42,2021-11-20 20:55:40.441666,not paying attention,-1
43,2021-11-20 20:55:40.657277,not paying attention,-1
44,2021-11-20 20:55:40.855019,not paying attention,-1
45,2021-11-20 20:55:41.090102,not paying attention,-1
46,2021-11-20 20:55:41.283729,not paying attention,-1
47,2021-11-20 20:55:41.473632,not paying attention,-1
48,2021-11-20 20:55:41.733704,not paying attention,-1
49,2021-11-20 20:55:41.933295,not paying attention,-1
50,2021-11-20 20:55:42.126419,not paying attention,-1
51,2021-11-20 20:55:42.399215,not paying attention,-1
52,2021-11-20 20:55:42.594950,not paying attention,-1
53,2021-11-20 20:55:43.055693,neutral,0.998
54,2021-11-20 20:55:43.533818,neutral,0.995
55,2021-11-20 20:55:43.943919,neutral,0.992
56,2021-11-20 20:55:44.405670,neutral,0.998
57,2021-11-20 20:55:44.622646,not paying attention,-1
58,2021-11-20 20:55:45.049699,neutral,0.999
59,2021-11-20 20:55:45.272017,not paying attention,-1
60,2021-11-20 20:55:45.678319,neutral,0.997
61,2021-11-20 20:55:45.936536,not paying attention,-1
62,2021-11-20 20:55:46.155983,not paying attention,-1
63,2021-11-20 20:55:46.361753,not paying attention,-1
64,2021-11-20 20:55:46.801394,neutral,0.99
65,2021-11-20 20:55:47.045636,not paying attention,-1
66,2021-11-20 20:55:47.436456,neutral,0.994
67,2021-11-20 20:55:47.668332,not paying attention,-1
68,2021-11-20 20:55:48.106707,neutral,0.994
69,2021-11-20 20:55:48.514333,neutral,0.998
70,2021-11-20 20:55:48.698918,not paying attention,-1
71,2021-11-20 20:55:48.954533,not paying attention,-1
72,2021-11-20 20:55:49.151921,not paying attention,-1
73,2021-11-20 20:55:49.373696,not paying attention,-1
74,2021-11-20 20:55:49.572730,not paying attention,-1
75,2021-11-20 20:55:49.775405,not paying attention,-1
76,2021-11-20 20:55:50.022245,not paying attention,-1
77,2021-11-20 20:55:50.220046,not paying attention,-1
78,2021-11-20 20:55:50.408550,not paying attention,-1
79,2021-11-20 20:55:50.611007,not paying attention,-1
80,2021-11-20 20:55:51.023087,neutral,0.982
81,2021-11-20 20:55:51.427328,neutral,0.999
82,2021-11-20 20:55:51.903090,neutral,0.998
83,2021-11-20 20:55:52.319997,neutral,0.999
84,2021-11-20 20:55:52.720264,neutral,0.998
85,2021-11-20 20:55:53.150526,neutral,0.998
86,2021-11-20 20:55:53.683644,neutral,0.999
87,2021-11-20 20:55:54.153315,neutral,0.997
88,2021-11-20 20:55:54.549705,neutral,0.997
89,2021-11-20 20:55:54.974743,neutral,0.988
90,2021-11-20 20:55:55.405657,neutral,0.991
91,2021-11-20 20:55:55.839102,neutral,0.997
92,2021-11-20 20:55:56.244570,neutral,0.999
93,2021-11-20 20:55:56.762626,neutral,0.992
94,2021-11-20 20:55:57.205112,neutral,0.995
95,2021-11-20 20:55:57.614565,neutral,0.994
96,2021-11-20 20:55:58.055603,neutral,0.992
97,2021-11-20 20:55:58.498349,neutral,0.996
98,2021-11-20 20:55:58.918650,neutral,0.955
99,2021-11-20 20:55:59.322451,neutral,0.938
100,2021-11-20 20:55:59.747536,neutral,0.996
101,2021-11-20 20:56:00.172400,neutral,0.987
102,2021-11-20 20:56:00.579338,neutral,0.998
103,2021-11-20 20:56:01.024866,neutral,0.995
104,2021-11-20 20:56:01.450420,neutral,0.985
105,2021-11-20 20:56:01.903472,neutral,0.956
106,2021-11-20 20:56:02.334145,neutral,0.99
107,2021-11-20 20:56:02.783483,neutral,0.995
108,2021-11-20 20:56:03.258887,neutral,0.992
109,2021-11-20 20:56:03.718151,neutral,0.992
110,2021-11-20 20:56:04.136528,neutral,0.992
111,2021-11-20 20:56:04.599450,neutral,0.963
112,2021-11-20 20:56:05.071640,neutral,0.997
113,2021-11-20 20:56:05.517261,neutral,0.998
114,2021-11-20 20:56:05.918971,neutral,0.975
115,2021-11-20 20:56:06.343804,neutral,0.989
116,2021-11-20 20:56:06.772922,neutral,0.99
117,2021-11-20 20:56:07.273843,neutral,0.998
118,2021-11-20 20:56:07.688264,neutral,0.995
119,2021-11-20 20:56:08.148509,neutral,0.926
120,2021-11-20 20:56:08.568959,neutral,0.994
121,2021-11-20 20:56:09.072803,neutral,0.991
122,2021-11-20 20:56:09.534684,neutral,0.996
123,2021-11-20 20:56:09.958936,neutral,0.995
124,2021-11-20 20:56:10.424385,neutral,0.991
125,2021-11-20 20:56:10.954213,neutral,0.998
126,2021-11-20 20:56:11.438416,neutral,0.999
127,2021-11-20 20:56:11.859215,neutral,0.996
128,2021-11-20 20:56:12.265834,neutral,1
129,2021-11-20 20:56:12.751252,neutral,0.999
130,2021-11-20 20:56:13.188480,neutral,0.999
131,2021-11-20 20:56:13.581649,neutral,0.999
132,2021-11-20 20:56:13.997656,neutral,0.999
133,2021-11-20 20:56:14.445282,neutral,0.999
134,2021-11-20 20:56:14.948603,neutral,0.999
135,2021-11-20 20:56:15.399381,neutral,0.999
136,2021-11-20 20:56:15.837768,neutral,1
137,2021-11-20 20:56:16.255042,neutral,0.999
138,2021-11-20 20:56:16.661376,neutral,0.997
139,2021-11-20 20:56:17.101140,neutral,0.998
140,2021-11-20 20:56:17.572340,neutral,0.998
141,2021-11-20 20:56:17.988562,neutral,0.997
142,2021-11-20 20:56:18.397712,neutral,0.999
143,2021-11-20 20:56:18.834815,neutral,0.991
144,2021-11-20 20:56:19.242310,neutral,0.999
145,2021-11-20 20:56:19.705434,neutral,0.999
146,2021-11-20 20:56:20.158751,neutral,0.999
147,2021-11-20 20:56:20.616633,neutral,0.998
148,2021-11-20 20:56:21.082238,neutral,0.998
149,2021-11-20 20:56:21.626386,neutral,0.995
150,2021-11-20 20:56:22.214091,neutral,1
151,2021-11-20 20:56:22.651296,neutral,0.996
152,2021-11-20 20:56:23.077382,neutral,0.999
153,2021-11-20 20:56:23.488986,neutral,1
154,2021-11-20 20:56:23.917701,neutral,0.999
155,2021-11-20 20:56:24.330231,neutral,0.995
156,2021-11-20 20:56:24.749232,neutral,0.998
157,2021-11-20 20:56:25.181875,neutral,0.999
158,2021-11-20 20:56:25.613813,neutral,0.998
159,2021-11-20 20:56:26.082470,neutral,1
160,2021-11-20 20:56:26.508813,neutral,0.998
161,2021-11-20 20:56:26.950421,neutral,0.998
162,2021-11-20 20:56:27.437132,neutral,0.995
