,Timestamp,Emotion,Emotion_Value
120,2021-11-20 21:04:14.880048,not paying attention,-1
121,2021-11-20 21:04:15.089115,not paying attention,-1
122,2021-11-20 21:04:15.270326,not paying attention,-1
123,2021-11-20 21:04:15.482048,not paying attention,-1
124,2021-11-20 21:04:15.699788,not paying attention,-1
125,2021-11-20 21:04:15.892211,not paying attention,-1
126,2021-11-20 21:04:16.146757,not paying attention,-1
127,2021-11-20 21:04:16.478926,not paying attention,-1
128,2021-11-20 21:04:16.682929,not paying attention,-1
129,2021-11-20 21:04:16.939056,not paying attention,-1
130,2021-11-20 21:04:17.139419,not paying attention,-1
131,2021-11-20 21:04:17.355832,not paying attention,-1
132,2021-11-20 21:04:17.547631,not paying attention,-1
133,2021-11-20 21:04:17.748512,not paying attention,-1
134,2021-11-20 21:04:17.953618,not paying attention,-1
135,2021-11-20 21:04:18.156099,not paying attention,-1
136,2021-11-20 21:04:18.346448,not paying attention,-1
137,2021-11-20 21:04:18.554930,not paying attention,-1
138,2021-11-20 21:04:18.755530,not paying attention,-1
139,2021-11-20 21:04:18.939042,not paying attention,-1
140,2021-11-20 21:04:19.150444,not paying attention,-1
141,2021-11-20 21:04:19.346099,not paying attention,-1
142,2021-11-20 21:04:19.550158,not paying attention,-1
143,2021-11-20 21:04:19.819271,not paying attention,-1
144,2021-11-20 21:04:20.008630,not paying attention,-1
145,2021-11-20 21:04:20.218337,not paying attention,-1
146,2021-11-20 21:04:20.459923,not paying attention,-1
147,2021-11-20 21:04:20.656178,not paying attention,-1
148,2021-11-20 21:04:20.860119,not paying attention,-1
149,2021-11-20 21:04:21.074284,not paying attention,-1
150,2021-11-20 21:04:21.251746,not paying attention,-1
151,2021-11-20 21:04:21.494986,not paying attention,-1
152,2021-11-20 21:04:21.813882,not paying attention,-1
153,2021-11-20 21:04:22.005250,not paying attention,-1
154,2021-11-20 21:04:22.238805,not paying attention,-1
155,2021-11-20 21:04:22.422226,not paying attention,-1
156,2021-11-20 21:04:22.619065,not paying attention,-1
157,2021-11-20 21:04:22.842594,not paying attention,-1
158,2021-11-20 21:04:23.044207,not paying attention,-1
159,2021-11-20 21:04:23.247981,not paying attention,-1
160,2021-11-20 21:04:23.444246,not paying attention,-1
161,2021-11-20 21:04:23.651423,not paying attention,-1
162,2021-11-20 21:04:23.909963,not paying attention,-1
163,2021-11-20 21:04:24.116778,not paying attention,-1
164,2021-11-20 21:04:24.310836,not paying attention,-1
165,2021-11-20 21:04:24.524865,not paying attention,-1
166,2021-11-20 21:04:24.722857,not paying attention,-1
167,2021-11-20 21:04:24.963273,not paying attention,-1
168,2021-11-20 21:04:25.225562,not paying attention,-1
169,2021-11-20 21:04:25.403863,not paying attention,-1
170,2021-11-20 21:04:25.676674,not paying attention,-1
171,2021-11-20 21:04:25.883882,not paying attention,-1
172,2021-11-20 21:04:26.071143,not paying attention,-1
173,2021-11-20 21:04:26.307063,not paying attention,-1
174,2021-11-20 21:04:26.492192,not paying attention,-1
175,2021-11-20 21:04:26.669579,not paying attention,-1
176,2021-11-20 21:04:26.893298,not paying attention,-1
177,2021-11-20 21:04:27.090929,not paying attention,-1
178,2021-11-20 21:04:27.278305,not paying attention,-1
179,2021-11-20 21:04:27.487056,not paying attention,-1
180,2021-11-20 21:04:27.682654,not paying attention,-1
181,2021-11-20 21:04:27.863067,not paying attention,-1
182,2021-11-20 21:04:28.089094,not paying attention,-1
183,2021-11-20 21:04:28.274371,not paying attention,-1
184,2021-11-20 21:04:28.455747,not paying attention,-1
185,2021-11-20 21:04:28.696882,not paying attention,-1
186,2021-11-20 21:04:28.880276,not paying attention,-1
187,2021-11-20 21:04:29.065915,not paying attention,-1
188,2021-11-20 21:04:29.282532,not paying attention,-1
189,2021-11-20 21:04:29.466651,not paying attention,-1
190,2021-11-20 21:04:29.650433,not paying attention,-1
191,2021-11-20 21:04:29.848089,not paying attention,-1
192,2021-11-20 21:04:30.045588,not paying attention,-1
193,2021-11-20 21:04:30.242939,not paying attention,-1
194,2021-11-20 21:04:30.452610,not paying attention,-1
195,2021-11-20 21:04:30.642203,not paying attention,-1
196,2021-11-20 21:04:30.837985,not paying attention,-1
197,2021-11-20 21:04:31.050289,not paying attention,-1
198,2021-11-20 21:04:31.248184,not paying attention,-1
199,2021-11-20 21:04:31.438690,not paying attention,-1
200,2021-11-20 21:04:31.691680,not paying attention,-1
201,2021-11-20 21:04:31.886327,not paying attention,-1
202,2021-11-20 21:04:32.077011,not paying attention,-1
203,2021-11-20 21:04:32.294940,not paying attention,-1
204,2021-11-20 21:04:32.473274,not paying attention,-1
205,2021-11-20 21:04:32.667962,not paying attention,-1
206,2021-11-20 21:04:32.897692,not paying attention,-1
207,2021-11-20 21:04:33.245523,not paying attention,-1
208,2021-11-20 21:04:33.463056,not paying attention,-1
209,2021-11-20 21:04:33.945646,neutral,0.999
210,2021-11-20 21:04:34.343856,neutral,0.956
211,2021-11-20 21:04:34.748099,neutral,0.999
212,2021-11-20 21:04:35.159476,neutral,0.999
213,2021-11-20 21:04:35.354190,not paying attention,-1
214,2021-11-20 21:04:35.544248,not paying attention,-1
215,2021-11-20 21:04:35.858824,not paying attention,-1
216,2021-11-20 21:04:36.048600,not paying attention,-1
217,2021-11-20 21:04:36.242896,not paying attention,-1
218,2021-11-20 21:04:36.462929,not paying attention,-1
219,2021-11-20 21:04:36.649761,not paying attention,-1
220,2021-11-20 21:04:36.833909,not paying attention,-1
221,2021-11-20 21:04:37.025644,not paying attention,-1
222,2021-11-20 21:04:37.219062,not paying attention,-1
223,2021-11-20 21:04:37.412934,not paying attention,-1
224,2021-11-20 21:04:37.887000,neutral,0.999
225,2021-11-20 21:04:38.354549,neutral,0.998
226,2021-11-20 21:04:38.817018,neutral,1
227,2021-11-20 21:04:39.282155,neutral,0.997
228,2021-11-20 21:04:39.500065,not paying attention,-1
229,2021-11-20 21:04:39.707746,not paying attention,-1
230,2021-11-20 21:04:39.931189,not paying attention,-1
231,2021-11-20 21:04:40.127281,not paying attention,-1
232,2021-11-20 21:04:40.309616,not paying attention,-1
233,2021-11-20 21:04:40.646353,not paying attention,-1
234,2021-11-20 21:04:40.848891,not paying attention,-1
235,2021-11-20 21:04:41.048349,not paying attention,-1
236,2021-11-20 21:04:41.233350,not paying attention,-1
